order_id	product_id	option_id	quantity
1000	1200	1201	2
1000	1200	1202	1
1000	1300	1301	3
1000	1300	1302	2
1001	1400	1401	1
1001	1400	1402	1
1001	1500	1501	2
1001	1500	1502	3
1002	1600	1601	2
1002	1600	1602	1
1002	1700	1701	1
1002	1700	1702	3
1003	1800	1801	1
1003	1800	1802	2
1003	1900	1901	1
1003	1900	1902	2
1004	2000	2001	2
1004	2000	2002	3
1004	2100	2101	1
1004	2100	2102	3
1004	2200	2201	2
1004	2200	2202	3
1005	2300	2301	1
1005	2300	2302	1
1005	2400	2401	3
1006	2400	2402	2
1006	2500	2501	3
1006	2500	2502	1
1006	2600	2601	2
1006	2600	2602	1
1007	6300	6301	7
1008	3000	3001	18
1008	3600	3602	9
1008	6400	6401	22
1009	2100	2102	23
1009	5800	5802	3
1010	5400	5402	7
1010	6000	6002	21
1011	2300	2301	9
1011	5700	5701	14
1011	7300	7301	6
1012	5600	5602	4
1012	7200	7201	2
1013	1400	1402	3
1013	2600	2601	20
1013	7100	7101	6
1014	2300	2302	18
1015	3200	3202	3
1015	5600	5601	7
1015	6600	6602	18
1016	4700	4701	9
1016	6300	6302	8
1017	4900	4902	10
1017	6700	6701	3
1018	2800	2801	21
1018	2900	2901	16
1018	5600	5601	3
1019	1200	1202	9
1019	7000	7002	16
1019	7300	7301	21
1020	3400	3401	17
1020	3800	3802	3
1020	7300	7301	9
1021	3100	3102	16
1021	3200	3201	5
1022	3000	3002	12
1022	5200	5202	6
1022	5400	5402	18
1023	1200	1202	5
1023	1900	1902	8
1023	7200	7202	13
1024	2900	2901	8
1024	7400	7402	21
1025	1400	1401	6
1025	6000	6001	11
1026	2100	2102	6
1026	6600	6602	11
